gene set 	NMI	AUC	AUC.pval	t.stat	t.pval
REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES	0.06864	0.7034	0.00194	2.938	0.1329
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_UP	0.06847	0.7048	0.00182	3.237	0.02712
BENPORATH_SOX2_TARGETS	0.06832	0.7048	0.00182	3.349	0.3331
OSMAN_BLADDER_CANCER_UP	0.06819	0.7168	0.00104	3.272	0.2706
WANG_TUMOR_INVASIVENESS_DN	0.06814	0.6617	0.01086	2.163	0.1438
REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT	0.06594	0.6758	0.00628	2.538	0.375
GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_DN	0.06579	0.7006	0.002203	2.829	0.002616
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.06415	0.5932	0.09328	1.593	2.226e-05
BLUM_RESPONSE_TO_SALIRASIB_UP	0.06393	0.6476	0.01812	1.922	0.4029
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	0.06379	0.7034	0.00194	3.163	0.08592
BENPORATH_NANOG_TARGETS	0.0637	0.6935	0.003006	2.775	0.002331
BURTON_ADIPOGENESIS_5	0.06369	0.7062	0.001706	3.016	0.001177
WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS	0.06348	0.6871	0.003945	2.747	0.001424
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC	0.06285	0.6843	0.004441	2.667	0.1082
ACEVEDO_LIVER_CANCER_DN	0.06269	0.6956	0.002741	2.956	3.729e-05
MARTENS_BOUND_BY_PML_RARA_FUSION	0.06168	0.6999	0.002273	3.073	1.675e-05
RODRIGUES_THYROID_CARCINOMA_ANAPLASTIC_DN	0.06135	0.6434	0.02098	2.166	0.001699
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	0.06103	0.5537	0.2241	0.8392	0.001699
BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_DN	0.0609	0.6893	0.003606	2.846	0.3865
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_DN	0.06081	0.6525	0.01521	2.177	0.0004754
HAMAI_APOPTOSIS_VIA_TRAIL_UP	0.0599	0.6857	0.004187	2.88	0.252
MARTINEZ_RB1_TARGETS_DN	0.05936	0.6554	0.01374	1.906	0.0001246
DOUGLAS_BMI1_TARGETS_UP	0.05905	0.6857	0.004187	3.053	0.4614
ZHOU_INFLAMMATORY_RESPONSE_LIVE_UP	0.05897	0.6448	0.01999	1.913	0.1329
MATSUDA_NATURAL_KILLER_DIFFERENTIATION	0.05887	0.7119	0.001314	3.249	0.3277
THUM_SYSTOLIC_HEART_FAILURE_UP	0.05884	0.6356	0.02721	1.863	0.02467
HOUNKPE_HOUSEKEEPING_GENES	0.05822	0.6617	0.01086	1.745	0.01986
IBRAHIM_NRF1_UP	0.05819	0.6667	0.009005	2.112	0.04608
SCHLOSSER_SERUM_RESPONSE_DN	0.05772	0.6518	0.0156	2.378	0.01102
REACTOME_PROTEIN_LOCALIZATION	0.05714	0.6942	0.002915	2.767	0.4904
KRIGE_RESPONSE_TO_TOSEDOSTAT_24HR_DN	0.05703	0.678	0.005766	2.594	0.05472
MULLIGHAN_MLL_SIGNATURE_1_UP	0.05699	0.6681	0.008528	2.329	0.008431
BERENJENO_TRANSFORMED_BY_RHOA_DN	0.05637	0.6942	0.002915	2.699	0.03263
MOOTHA_HUMAN_MITODB_6_2002	0.05469	0.666	0.009252	2.685	0.000555
KIM_BIPOLAR_DISORDER_OLIGODENDROCYTE_DENSITY_CORR_UP	0.05393	0.654	0.01446	2.181	0.001171
MARTORIATI_MDM4_TARGETS_FETAL_LIVER_DN	0.05383	0.6836	0.004574	2.772	0.1567
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	0.05375	0.6871	0.003945	2.881	0.1159
YAMAZAKI_TCEB3_TARGETS_UP	0.0537	0.6638	0.01003	2.544	0.009989
ENK_UV_RESPONSE_KERATINOCYTE_UP	0.05247	0.5742	0.1469	0.4515	7.674e-05
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.05233	0.6349	0.02785	2.063	0.0001464
RUTELLA_RESPONSE_TO_HGF_DN	0.05219	0.6434	0.02098	1.781	0.4355
DEBIASI_APOPTOSIS_BY_REOVIRUS_INFECTION_DN	0.05158	0.6215	0.04248	1.223	0.01487
KEGG_OXIDATIVE_PHOSPHORYLATION	0.05156	0.6935	0.003006	2.762	0.0455
JIANG_HYPOXIA_NORMAL	0.05146	0.6497	0.01682	2.149	0.1131
PHONG_TNF_RESPONSE_VIA_P38_COMPLETE	0.05137	0.6716	0.007431	2.606	0.3187
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	0.05115	0.6667	0.009005	2.42	9.511e-05
THEILGAARD_NEUTROPHIL_AT_SKIN_WOUND_DN	0.05105	0.6744	0.006645	2.515	0.06435
SANSOM_APC_MYC_TARGETS	0.04998	0.6674	0.008763	2.651	0.001687
WAKABAYASHI_ADIPOGENESIS_PPARG_RXRA_BOUND_8D	0.04992	0.6645	0.009764	2.479	4.88e-05
BENPORATH_MYC_MAX_TARGETS	0.04985	0.6638	0.01003	2.348	0.08351
LU_EZH2_TARGETS_DN	0.04966	0.6405	0.02309	1.921	0.1523
SHEPARD_CRASH_AND_BURN_MUTANT_UP	0.0495	0.5247	0.3645	0.3318	0.1635
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT	0.04933	0.6603	0.01145	2.321	0.4044
BROWNE_HCMV_INFECTION_48HR_DN	0.04815	0.6688	0.008297	2.413	0.0001751
WP_FOCAL_ADHESION_PI3KAKTMTORSIGNALING_PATHWAY	0.04788	0.6264	0.03649	2.283	0.4319
KIM_WT1_TARGETS_DN	0.04731	0.6144	0.05239	1.347	0.02226
BIOCARTA_RAB_PATHWAY	0.04681	0.6335	0.02916	2.014	0.1965
REACTOME_TRANSPORT_OF_SMALL_MOLECULES	0.04627	0.6257	0.0373	1.755	0.005531
DANG_BOUND_BY_MYC	0.04608	0.6109	0.05798	1.074	0.2706
BENPORATH_CYCLING_GENES	0.04593	0.6462	0.01903	2.45	0.008876
REACTOME_TRANSLATION	0.04527	0.6716	0.007431	2.675	0.0281
LIU_SOX4_TARGETS_DN	0.0448	0.6822	0.004849	2.657	0.08578
WONG_MITOCHONDRIA_GENE_MODULE	0.04456	0.6285	0.03415	1.952	5.984e-07
WEST_ADRENOCORTICAL_TUMOR_UP	0.04368	0.6314	0.03122	2.227	0.002317
REACTOME_INTRA_GOLGI_TRAFFIC	0.04331	0.6547	0.01409	2.062	0.2661
YOSHIMURA_MAPK8_TARGETS_UP	0.04315	0.584	0.117	0.6478	4.198e-07
SENESE_HDAC1_AND_HDAC2_TARGETS_UP	0.0431	0.5939	0.09162	1.291	0.0005433
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_A	0.04259	0.6335	0.02916	1.726	0.167
REACTOME_SARS_COV_INFECTIONS	0.04209	0.6257	0.0373	1.761	0.02585
STEIN_ESRRA_TARGETS_UP	0.04186	0.6455	0.0195	2.004	0.003571
WELCSH_BRCA1_TARGETS_UP	0.04159	0.6391	0.02421	1.981	0.008842
KIM_MYC_AMPLIFICATION_TARGETS_UP	0.04084	0.5318	0.3274	0.5657	0.00104
REACTOME_RHOG_GTPASE_CYCLE	0.04067	0.6561	0.01339	2.363	0.07797
BILD_HRAS_ONCOGENIC_SIGNATURE	0.04004	0.6391	0.02421	1.88	0.4817
DACOSTA_UV_RESPONSE_VIA_ERCC3_DN	0.03987	0.6511	0.016	2.176	0.00104
WANG_TUMOR_INVASIVENESS_UP	0.03933	0.6645	0.009764	2.398	0.001959
TIEN_INTESTINE_PROBIOTICS_24HR_DN	0.03919	0.673	0.007028	2.538	0.04912
JINESH_BLEBBISHIELD_VS_LIVE_CONTROL_UP	0.03859	0.6434	0.02098	2.257	0.1571
LIN_NPAS4_TARGETS_UP	0.03836	0.649	0.01724	1.943	0.1571
FLECHNER_PBL_KIDNEY_TRANSPLANT_OK_VS_DONOR_UP	0.03798	0.6363	0.02659	1.947	0.367
MITSIADES_RESPONSE_TO_APLIDIN_DN	0.03726	0.5826	0.121	1.234	0.2631
YOSHIMURA_MAPK8_TARGETS_DN	0.03694	0.6405	0.02309	1.893	0.01097
KUMAR_TARGETS_OF_MLL_AF9_FUSION	0.03682	0.6377	0.02537	2.119	0.0005346
GOLDRATH_HOMEOSTATIC_PROLIFERATION	0.03661	0.6391	0.02421	1.751	0.3756
MCBRYAN_PUBERTAL_BREAST_6_7WK_UP	0.03622	0.6229	0.04069	1.663	0.4656
MORI_PLASMA_CELL_UP	0.03611	0.6638	0.01003	2.333	0.0002187
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	0.03526	0.6575	0.01271	2.39	0.2315
WEST_ADRENOCORTICAL_TUMOR_DN	0.03513	0.6236	0.03982	1.717	0.0002911
REACTOME_INFLUENZA_INFECTION	0.03494	0.5205	0.3873	0.1249	0.0008593
JISON_SICKLE_CELL_DISEASE_UP	0.03483	0.5826	0.121	1.167	0.4759
DOUGLAS_BMI1_TARGETS_DN	0.03467	0.6321	0.03052	1.96	0.487
JI_RESPONSE_TO_FSH_DN	0.03446	0.6215	0.04248	1.631	0.06919
STARK_PREFRONTAL_CORTEX_22Q11_DELETION_UP	0.0344	0.6165	0.04924	1.981	4.046e-05
FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_OK_VS_DONOR_UP	0.03222	0.5565	0.2123	0.9606	0.0003188
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.03129	0.6264	0.03649	1.72	0.04811
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_14	0.03059	0.5191	0.3951	0.2896	0.07327
FEVR_CTNNB1_TARGETS_UP	0.03043	0.577	0.1379	1.286	0.3957
LIAO_METASTASIS	0.02933	0.6257	0.0373	1.593	0.0003909
RODWELL_AGING_KIDNEY_UP	0.02859	0.6292	0.0334	1.781	0.003427
NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_DN	0.0284	0.548	0.2489	0.9145	0.002071
BRUINS_UVC_RESPONSE_EARLY_LATE	0.02815	0.6081	0.06279	1.624	0.4818
OUELLET_OVARIAN_CANCER_INVASIVE_VS_LMP_UP	0.02814	0.6123	0.05569	1.624	0.169
SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM	0.02797	0.6081	0.06279	1.797	0.2023
BORCZUK_MALIGNANT_MESOTHELIOMA_UP	0.02741	0.5897	0.1019	1.071	0.07454
MILI_PSEUDOPODIA_CHEMOTAXIS_DN	0.02721	0.6391	0.02421	2.143	0.2608
DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN	0.02718	0.577	0.1379	1.501	0.004922
DELYS_THYROID_CANCER_UP	0.02634	0.6066	0.06531	1.638	0.02444
WONG_ADULT_TISSUE_STEM_MODULE	0.02633	0.577	0.1379	0.8799	0.1857
KRIGE_RESPONSE_TO_TOSEDOSTAT_6HR_UP	0.02618	0.5975	0.08363	1.144	0.2896
YAGI_AML_WITH_T_8_21_TRANSLOCATION	0.02613	0.6419	0.02201	2.047	0.1847
NUYTTEN_EZH2_TARGETS_UP	0.0259	0.5989	0.08058	1.447	0.1032
GRYDER_PAX3FOXO1_ENHANCERS_KO_DOWN	0.02577	0.6073	0.06404	1.829	0.1666
REACTOME_RAC1_GTPASE_CYCLE	0.02576	0.5169	0.4067	0.5741	0.3884
JOHNSTONE_PARVB_TARGETS_3_UP	0.02545	0.6285	0.03415	1.872	0.03485
RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_DN	0.02512	0.6165	0.04924	1.411	0.1143
RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_DN	0.02511	0.6299	0.03266	1.948	0.003153
STEIN_ESRRA_TARGETS	0.02507	0.6299	0.03266	1.954	0.01085
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	0.02491	0.5014	0.494	0.03539	0.1347
REACTOME_SIGNALING_BY_NOTCH	0.02477	0.6024	0.07333	1.448	0.1081
FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_DN	0.02476	0.565	0.179	1.072	0.3719
NUYTTEN_NIPP1_TARGETS_UP	0.02417	0.589	0.1037	1.448	0.002323
WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	0.02403	0.6257	0.0373	1.809	4.107e-05
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_AND_BRAIN_QTL_TRANS	0.0227	0.6003	0.07762	1.387	0.0002059
CHEN_METABOLIC_SYNDROM_NETWORK	0.02255	0.601	0.07617	1.568	0.006824
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	0.02248	0.6095	0.06035	1.792	0.00983
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	0.02239	0.5424	0.275	0.6923	0.3137
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	0.02229	0.6109	0.05798	1.535	0.1032
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	0.02229	0.6109	0.05798	1.535	0.005825
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	0.02229	0.6109	0.05798	1.535	0.02203
MOOTHA_MITOCHONDRIA	0.02199	0.6278	0.03492	1.846	0.006256
GOZGIT_ESR1_TARGETS_DN	0.02149	0.6052	0.0679	1.614	0.03482
GENTILE_UV_HIGH_DOSE_DN	0.0213	0.6165	0.04924	1.637	0.1398
SENESE_HDAC3_TARGETS_UP	0.02115	0.6264	0.03649	1.83	0.4659
BOCHKIS_FOXA2_TARGETS	0.02001	0.5805	0.1271	0.9217	0.008061
MARTINEZ_RB1_AND_TP53_TARGETS_UP	0.01951	0.5657	0.1764	0.9028	0.003746
GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_UP	0.01904	0.5501	0.2394	0.8128	0.321
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	0.01896	0.6137	0.05347	1.642	2.65e-06
GARY_CD5_TARGETS_DN	0.01876	0.5318	0.3274	0.66	0.00122
REACTOME_RAC3_GTPASE_CYCLE	0.01866	0.584	0.117	1.308	0.2957
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN	0.01845	0.5551	0.2182	0.8581	0.1887
MCBRYAN_PUBERTAL_BREAST_5_6WK_DN	0.01842	0.572	0.154	1.019	0.2794
MARSON_BOUND_BY_FOXP3_UNSTIMULATED	0.01832	0.565	0.179	0.6392	0.1563
DACOSTA_UV_RESPONSE_VIA_ERCC3_UP	0.01687	0.5346	0.3131	0.3368	0.1532
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT	0.01672	0.5727	0.1516	1.115	5.669e-05
REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION	0.01672	0.5727	0.1516	1.115	0.1568
TARTE_PLASMA_CELL_VS_B_LYMPHOCYTE_UP	0.01668	0.5876	0.1074	1.294	0.3543
ENK_UV_RESPONSE_KERATINOCYTE_DN	0.01666	0.6017	0.07474	1.526	0.3924
ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	0.01602	0.5692	0.1637	0.7969	0.0004956
REACTOME_RAB_GERANYLGERANYLATION	0.01602	0.6116	0.05683	1.617	0.0001618
RATTENBACHER_BOUND_BY_CELF1	0.01592	0.5968	0.08518	1.252	0.4143
AMIT_EGF_RESPONSE_480_HELA	0.01582	0.5643	0.1817	0.7379	0.01265
RICKMAN_METASTASIS_UP	0.01504	0.596	0.08676	1.261	0.0007429
GARY_CD5_TARGETS_UP	0.01501	0.553	0.2271	0.6432	0.002358
HAN_SATB1_TARGETS_UP	0.01499	0.5946	0.08997	1.297	0.002429
RODRIGUES_THYROID_CARCINOMA_ANAPLASTIC_UP	0.01472	0.5749	0.1446	0.8707	0.008404
PURBEY_TARGETS_OF_CTBP1_NOT_SATB1_UP	0.01469	0.5918	0.09667	1.348	0.001558
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_MONOCYTE_UP	0.0146	0.5459	0.2585	0.7491	0.005442
KIM_WT1_TARGETS_12HR_DN	0.01355	0.5791	0.1314	1.075	0.02288
HOLLMANN_APOPTOSIS_VIA_CD40_DN	0.01313	0.5932	0.09328	1.134	0.006513
SHEPARD_BMYB_MORPHOLINO_UP	0.01274	0.5339	0.3166	0.5624	0.002458
GRAESSMANN_APOPTOSIS_BY_SERUM_DEPRIVATION_UP	0.01272	0.5374	0.299	0.9031	0.2031
REACTOME_RRNA_PROCESSING	0.01237	0.5968	0.08518	1.443	0.3846
FERNANDEZ_BOUND_BY_MYC	0.01231	0.541	0.2818	0.5067	0.1563
CUI_TCF21_TARGETS_2_DN	0.01215	0.5487	0.2457	1.001	0.291
ZWANG_CLASS_1_TRANSIENTLY_INDUCED_BY_EGF	0.01208	0.5643	0.1817	1.163	0.3406
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	0.01195	0.5939	0.09162	1.407	0.00235
ALONSO_METASTASIS_UP	0.01167	-0.5106	0.4381	0.08403	0.03949
BAELDE_DIABETIC_NEPHROPATHY_DN	0.01154	0.5805	0.1271	1.156	0.1936
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.01107	0.5184	0.3989	0.7045	0.00289
REACTOME_MITOTIC_PROPHASE	0.01106	0.5572	0.2094	0.6644	0.0516
REACTOME_TRANSLOCATION_OF_SLC2A4_GLUT4_TO_THE_PLASMA_MEMBRANE	0.01093	0.5212	0.3835	0.1905	0.002357
MARSON_BOUND_BY_FOXP3_STIMULATED	0.01068	0.5501	0.2394	1.009	0.08817
MOREAUX_MULTIPLE_MYELOMA_BY_TACI_UP	0.01012	0.5558	0.2152	1.045	0.0002808
KRIGE_RESPONSE_TO_TOSEDOSTAT_24HR_UP	0.009841	0.5106	0.4421	0.1324	0.3226
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_17	0.009286	0.5494	0.2426	0.6572	0.09948
